,destinationCountry,destinationCurrency,destinationAmount,originCountry,originCurrency,originAmount,state,destinationMethod,originMethod,transactionId,originUserId,destinationUserId,hour_sin,hour_cos,day_sin,day_cos,week_day_sin,week_day_cos
0,IN,INR,10132.8,IN,INR,10132.8,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,bd70fcaebc254c23b07b29fd994ba5f2,29529892-22d3-4a74-b6f2-fbe1d5ee8b6f,N/A,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
1,IN,INR,145653.93,IN,INR,145653.93,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,c9f8913d0bd548838e97bd6a609dbc45,0b85951b-c817-499e-ad17-453e5feaf87c,N/A,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
2,IN,INR,6311.0,IN,INR,6311.0,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,4de9f33636cf44378f748f723ee4ac87,29529892-22d3-4a74-b6f2-fbe1d5ee8b6f,N/A,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
3,IN,INR,400000.0,IN,INR,400000.0,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,12b97d4eb51940d0886f609903fb2154,2f6ec341-9075-4aaa-9db2-9fd5d8597f97,0b85951b-c817-499e-ad17-453e5feaf87c,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
4,IN,INR,45.0,IN,INR,45.0,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,32c6bc06f67b4e2b8222f76c8268cea9,0b85951b-c817-499e-ad17-453e5feaf87c,N/A,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
5,IN,INR,300.0,IN,INR,300.0,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,9d644ad009884c1cad02174fc675c8ac,4115204f-2efe-4b49-920d-79959524e44b,N/A,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
6,IN,INR,106805.98,IN,INR,106805.98,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,95e10b55223d48eca856f74dbefecaff,0b85951b-c817-499e-ad17-453e5feaf87c,N/A,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
7,IN,INR,75.0,IN,INR,75.0,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,217431468733751812394670095119464548650,N/A,8f29ba06-7415-4455-894d-a21c9208752d,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
8,IN,INR,200000.0,IN,INR,200000.0,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,8912bcd12ae04292a0fd57e3568fcab1,0b85951b-c817-499e-ad17-453e5feaf87c,N/A,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
9,IN,INR,17000.0,IN,INR,17000.0,CREATED,GENERIC_BANK_ACCOUNT,GENERIC_BANK_ACCOUNT,268033692550416371306196591651483029501,N/A,8150dfd1-9265-421f-b33e-cc423205c4d3,0.258819045102521,-0.9659258262890682,-0.9033558023246842,-0.4288919379124841,0.43388373911756595,-0.9009688679024154
